subid,response_id,file_name,log_action,var_name,old_value,new_value,source,notes
32,R_2dKFAqgTMEHdxsD,,note,,,,KW,Participant returned with new phone next day (incomplete). 
33,R_3OkucFj7qiH7C1k,,note,,,,KW,Participant's sim card did not fit in iphone - returned for second visit after obtaining new sim card.
